型式,測照地點,測照方向,管轄分局
非線圈數位-雷達,鳳山區南華一路與和成路,西向東,鳳山分局
非線圈數位-雷達,路竹區環球路與樹人醫事學校前路口,西向東,湖內分局
非線圈數位-雷射,茄萣區高1-1線與崎漏路口,東向西,湖內分局
非線圈數位-雷達,美濃區中華路(台28線)與獅山街口,東向西,旗山分局
非線圈數位-雷達,旗山區中華路與華中街口,西向東,旗山分局
雷達數位,燕巢區鳳澄路7之32號前,北向南,岡山分局
雷達數位,大昌二路28號前,南向北,三民二分局
雷達數位,大寮區河堤路三段與公園街口前,北向南,林園分局
雷達數位,鳳山區溪濱路與園墘路口前,南向北,鳳山分局
雷達數位,高坪18路與高坪15路口,西向東,小港分局
雷達數位,內門區旗文路(台三線401.88K),北向南,旗山分局
雷達數位,美濃區中華路77號對面(台28線40.7K),西向東,旗山分局
非線圈數位-雷達,鳳山區國泰路二段與南京路口,北向南,鳳山分局
非線圈數位-雷射,民族一路與建工路口,南向北,三民二分局
非線圈數位-雷達,湖內區和平路與東方路口,南向北,湖內分局
非線圈數位-雷達,路竹區中山南路47號前路口,南向北,湖內分局
非線圈數位-雷達,中華一路與大順一路口,南向北,鼓山分局
非線圈數位-雷達,鳳山區鳳頂路與過埤路口,北向南,鳳山分局
非線圈數位-雷達,中山三路與凱旋四路,南向北,前鎮分局
非線圈數位-雷達,中山四路與金福路口,北向南,前鎮分局
非線圈數位-雷達,中山四路與中安路口,南向北,前鎮分局
非線圈數位-雷達,水管路三段與澄觀路二段路口,東向西,仁武分局
非線圈數位-雷達,高楠公路與德民路口,南向北,楠梓分局
非線圈數位-雷達,大中二路與華夏路口,西向東,左營分局
雷達數位,鳥松區松藝路段路燈1454號對面,北向南,仁武分局
雷達數位,仁武區鳳仁路183線2.45公里中央分隔島,北向南,仁武分局
雷達數位,大社區中山路521-9號旁,東向西,仁武分局
雷達數位,高鳳路82-76號,南向北,小港分局
雷達數位,路竹區台28線8K處環球路18號旁,東向西,湖內分局
雷達數位,中山一路與民生一路,北向南,新興分局
線圈數位,中華一路與美術北三路口,北向南,鼓山分局
線圈數位,中山四路與鎮海路口,北向南,前鎮分局
線圈數位,中山四路與大業北路口,北向南,小港分局
線圈數位,高楠公路與水管路口(機車道),北向南,楠梓分局
線圈數位,民族一路與裕誠路口,北向南,三民二分局
線圈數位,自由一路與同盟一路口,北向南,三民一分局
線圈數位,五福一路與和平一路口,西向東,苓雅分局
線圈數位,澄清路與澄和路口,北向南,三民二分局
線圈數位,中華三路與民生二路口,北向南,新興分局
線圈數位,明誠一路與大裕路口,西向東,三民二分局
線圈數位,華夏路337巷口,南向北,左營分局
線圈數位,大中二路與自由四路口,東向西,左營分局
雷達數位,翠華路1686之1號前,南向北,左營分局
雷達數位,大中高架道路華夏匝道口,西向東,左營分局
雷達數位,大中高架道路文川匝道口,東向西,左營分局
雷達數位,同盟三路與十全三路口往西220公尺處,東向西,三民一分局
線圈數位,楠陽路與鳳楠路口,西向東,楠梓分局
線圈數位,高鐵路與曾子路口,北向南,左營分局
線圈數位,高楠公路金屬研發中心前,南向北,楠梓分局
線圈數位,一心一路與光華二路口,東向西,前鎮分局
線圈數位,三多二路與桂林街口,西向東,前鎮分局
雷達數位,鼓山三路與青峰路口,北向南,鼓山分局
雷達數位,中安路223號前,東向西,小港分局
線圈數位,公園二路與五福三路口,南向北,鹽埕分局
線圈數位,保泰路與公正路口,東向西,前鎮分局
非線圈數位-雷射,凱旋四路與籬仔內路口(104年新設),南向北,前鎮分局
,106年起:總計213桿(澄清、覺民拆除)，181台主機,,
